L1-icache-load-misses,branch-loads,dTLB-store-misses,L1-dcache-load-misses,bus-cycles,branch-instructions,LLC-load-misses,cpu-cycles,cache-references,dTLB-load-misses,L1-dcache-stores,branch-misses,LLC-stores,iTLB-load-misses,branch-load-misses,LLC-loads,L1-dcache-loads,cache-misses,LLC-store-misses,instructions
475613,4502674,4,39106,35181521,3202671,3444,70325633,18096235,4,18091099,593841,478606,2,524840,478274,18093073,39714,3458,49588212
476092,5111887,2,37869,35154701,3201450,3323,70346242,18103215,2,18129229,595636,529242,2,593232,529259,18129228,38774,3311,49605231
477523,5120670,4,38467,35151325,3205888,2936,70302850,18107932,4,18128394,595458,533741,2,595632,533881,18128393,39351,2938,49595270
480811,5120483,6,39849,35210379,3167293,3229,70346521,18113938,6,18093047,589521,532928,3,594790,532755,18093047,48013,3225,49525972
473630,4992101,2,37999,35252864,3227985,3016,70344187,18064607,2,18131401,597643,518990,1,581283,518941,18131403,41733,3015,49497013
487096,4389609,3,48934,35201778,3199609,3536,70369531,18148073,3,17671257,594288,469199,2,510194,469219,17671255,39221,3542,49852539
476750,4468699,10,38994,35181189,3226327,3070,70289017,18085321,10,18136738,596192,467270,3,518275,467669,18136740,39998,3064,49554261
471360,5129708,0,37807,35180455,3239023,2998,70275356,18091767,0,18110146,600102,537289,2,597370,537243,18110146,40345,2998,49712284
475509,5119351,2,39583,35193305,3209025,3144,70311430,18083184,2,18065594,596892,534504,0,597456,534543,18065594,39225,3137,49501604
479748,5100968,2,39336,35190815,3203038,3719,70299441,18099630,2,18079466,596055,531007,0,593694,531011,18079465,39281,3724,49573214
476432,5033502,0,38371,35185929,3195768,3631,70321610,18114995,0,18144061,594028,525585,1,585592,525399,18142072,39005,3658,49619594
476607,4377925,2,38268,35156105,3197407,3413,70342927,18109423,2,18123232,594447,460963,1,508635,460725,18125221,38494,3394,49612419
471418,4409493,6,38027,35204546,3220127,2815,70289512,18068459,6,18111961,598536,472813,3,513403,473233,18108610,40605,2802,49561936
482600,4382420,0,40760,35165409,3201308,2825,70371017,18104172,0,18073501,594273,460016,1,508093,460022,18076853,38626,2831,49593719
475448,4456616,3,38128,35168267,3194496,2921,70265035,18091012,3,18115857,593494,471353,2,518886,471342,18115858,39887,2925,49545400
476966,5112574,0,39288,35184642,3220918,3371,70403153,18160175,0,18060091,596117,531848,0,594970,531843,18060088,40941,3356,49762333
475751,5123775,1,38976,35167579,3206598,2965,70298265,18066902,1,18111021,595581,527825,1,595675,527512,18111023,39610,2984,49387433
479728,5090975,2,38819,35211819,3223530,17359,70366516,18087159,2,18105504,598104,567566,1,591088,567858,18105505,40099,17379,49580099
