1292732,5812566,1,135289,34572620,5724151,3843,54946725,15698904,1,19413741,589695,663346,0,317059,663369,19413741,130853,3887,38575037,1
475470,4374816,9,38420,35184943,3221859,2855,70383346,18088428,9,18101189,597376,462230,3,507819,462241,18101187,39672,2856,49516190,1
6944,3648837,110,1642,35255141,3423604,3041,70419420,36764507,111,36767519,59465,15696,98,61516,16120,36768254,2047,2790,60714366,1
5300,3632967,0,1235,35094866,3424045,17,70171644,36759100,0,36756111,58417,7338,0,58121,7412,36756112,1122,15,60697504,1
29060,9189471,6,4101,35063486,5840930,5297,7012763,1869471,6,655499,590586,1232240,5,510331,1232254,655499,104744,5290,4642972,1
946150,2942908,71,87519,16871692,2796245,5060,22665174,6240493,70,13764276,287408,400199,58,173172,400192,13764276,52849,5046,15568157,1
5332,1548664,3,1305,30092195,1181238,438,70199256,20264997,3,20263376,85233,8664,2,91918,8686,20263376,1519,424,60913396,1
473643,4861427,2,38309,35246052,3223822,3138,70300277,18083324,2,18099632,598804,496771,2,562250,496385,18099632,40429,3134,49402574,1
5867,1547278,3,1037,30087856,1181565,25,70171420,20280125,3,20280487,77205,7531,1,89959,7553,20280487,755,26,60969301,1
475391,4375211,1,38789,35191179,3158822,3641,70389172,18092700,1,18113363,587540,462553,3,507902,462564,18113363,48536,3643,49570945,1
6991,1556903,44,1743,30227075,1184267,2349,70421659,20243365,46,20292625,83128,14529,36,95390,14949,20293391,1692,2081,60718300,1
472466,4809406,2,38624,35164091,3210050,2267,70287765,18019806,2,18056446,594059,386159,2,543762,385766,18056444,39048,2331,49398312,1
480474,4743141,1,39781,35187049,3215659,1643,70317817,18121807,1,18127047,597484,334626,2,525899,334654,18127048,38736,1592,49695805,1
5130,3633687,0,759,35124100,3398713,12,70209519,36764390,0,36764237,72772,7265,0,57712,7251,36764238,10596,12,60712986,1
477014,4744371,1,39278,35200779,3217057,1305,70260596,18078508,1,18106128,596140,333742,4,525574,333762,18106126,38497,1285,49492377,1
473012,4366290,4,37947,35161237,3204675,2820,70378083,18122607,4,18122339,595274,456522,1,508163,456575,18122339,39544,2805,49710544,1
590670,10899651,0,61400,34725063,5768042,3440,2260130,498707,0,9075550,594634,1272950,0,591412,1272952,9075551,128562,3450,1089215,1
475233,4516929,5,38129,35183804,3180195,3394,70309204,18055741,5,18113614,590575,471124,3,523526,471044,18113612,49300,3401,49494142,1
4945,1547496,4,830,35093353,1376969,43,70170990,20266611,3,20285248,89709,7612,4,90096,7634,20285249,768,37,60917288,1
479245,5117330,14,39077,35212852,3230609,3889,70336985,18058199,14,18119512,596383,536294,2,597900,536310,18119514,40895,3898,49451919,1
416574,5131227,1,34631,35170799,3216743,3318,70453626,18088311,1,15550987,596331,534881,0,597354,534939,15550988,38704,3301,49442367,1
475436,4993909,6,39412,35157497,3272366,2703,70338687,18110327,6,18073175,596371,469151,4,573773,469171,18073175,40251,2711,49521938,1
5106,3633932,0,931,35092717,3422360,72,70171347,36758458,0,36762190,57722,7868,1,58451,7858,36762191,748,74,60695470,1
477462,5107593,0,38256,35196690,3213615,3376,70348027,18123159,0,18105428,596495,530304,1,594258,530460,18105428,39410,3374,49660257,1
5023,3633099,51,724,35093200,3423497,20,70171072,36758135,51,36764132,57721,7285,49,57887,7279,36764132,909,22,60696095,1
4976,3632687,5,777,35092885,3422401,37,70171094,36757045,6,36762350,57564,7187,1,57838,7191,36762351,778,33,60692760,1
5555,3633007,7,852,35093352,3422354,252,70171158,36759663,7,36768948,57375,10074,7,58259,10060,36768948,768,250,60696668,1
479687,4390417,4,38569,35196750,3179936,2987,70334458,17634865,4,18104993,591057,464440,2,510495,464820,18104993,37820,2955,48281024,1
5073,3633199,990,817,35093389,3422612,103,70171839,36758728,984,36763930,57559,7360,1001,58048,7391,36763929,813,93,60695841,1
477027,5103762,2,38394,35157465,3190983,2885,70385620,18100686,2,18104579,594294,525737,3,593588,525740,18104579,39418,2894,49535785,1
4914,3632514,0,802,35093607,3425573,23,70171307,36759079,0,36763895,57730,7361,0,58045,7410,36763895,842,16,60695944,1
480017,4622683,3,39583,35165282,3226905,3371,70295689,18056231,3,18116681,597350,484405,2,535376,484119,18116684,40049,3385,49540231,1
476750,4468699,10,38994,35181189,3226327,3070,70289017,18085321,10,18136738,596192,467270,3,518275,467669,18136740,39998,3064,49554261,1
484144,4806233,2,40190,35144920,3244154,2258,70349182,18129177,2,18107602,594547,375426,1,540040,375425,18107601,39936,2310,49719399,1
5684,1547344,2,920,35112329,1376896,39,70171040,20265653,2,20285830,95637,7502,2,90026,7507,20285829,873,34,60915509,1
1293504,2377180,0,137038,34723950,5759904,4022,58347661,16798533,0,19424773,591602,286915,0,138306,286906,19424773,128810,3987,41341741,1
1343521,8521729,36,121440,12501179,2069918,6229,12953541,3593500,42,19412304,213745,1149901,52,481910,1149855,19412301,38385,6251,9005560,1
479639,4698585,2,39066,35161872,3236287,10458,70331156,17695748,2,18124079,598196,545310,1,538316,545250,18124080,40281,10486,48428451,1
411214,4742611,0,34626,35158979,3201574,1464,70354123,18136429,0,15537169,594428,333425,0,523917,333464,15537170,38965,1408,49600651,1
479588,4659379,3,40384,35234962,3249749,3273,70277121,18093260,3,18081156,603351,489084,0,541362,489078,18081157,41962,3271,49596553,1
5000,1548823,2,838,35093026,1376939,36,70170187,20277904,2,20282487,89669,8886,2,90615,8824,20282487,809,37,60962827,1
476882,5107246,1,38403,35162103,3223244,2948,70269185,18110694,1,18112615,596977,523585,1,593261,523646,18109605,41422,2936,49625822,1
475917,4397145,3,38753,35156582,3197387,2978,70335120,18090116,3,18106804,592577,468816,3,511440,468772,18106804,38227,2978,49686118,1
472185,4869056,12,37601,35165289,3183398,2737,70362280,18129846,12,18122409,593861,512462,6,568508,512139,18122409,38297,2721,49613106,1
470019,4741374,3,37023,35213004,3228350,1985,70338257,18120499,3,18121146,595331,334516,2,526218,334527,18121146,39274,1944,49576539,1
481883,5151461,4,39790,35173552,3226435,3013,70353906,18128709,4,18047773,598331,543244,1,600235,543125,18047774,40939,3111,49666453,1
928267,2981210,0,98808,21989593,3622463,4369,69611161,20074564,0,13846362,376882,352936,0,168931,352953,13843328,81611,4407,49436335,1
465927,4398474,4,36165,35175224,3198217,3417,70370236,18100678,4,18142532,593593,469821,3,511257,469799,18142530,39888,3416,49549627,1
475178,5118179,1,38829,35151627,3216113,3147,70375222,18092031,1,18083108,596365,529087,1,595048,529105,18083108,39732,3140,49514881,1
4966,1548581,3,920,35093337,1375551,157,70171143,20280784,3,20277249,98382,8311,1,90195,8298,20277249,901,157,60969447,1
474673,4225732,4,39472,35166271,3193885,1731,70365194,18082521,4,18030821,591308,298866,2,468634,298884,18030821,37445,1686,49615543,1
418827,4745920,1,35856,35215080,3213771,1636,70465396,18126941,1,15528803,594111,335316,1,526264,335321,15526345,38435,1636,49671072,1
478056,4871045,1,39022,35163755,3231124,2966,70245394,18061179,1,18107988,597777,497482,1,566048,497441,18107986,40353,2970,49462569,1
477274,5117261,3,38656,35207190,3216174,3171,70261519,18067434,3,18118387,595911,530602,2,595563,530022,18118386,40381,3190,49445321,1
478259,4552122,0,39016,35205084,3207634,3392,70346428,18089627,0,18121799,594864,485403,1,528933,485373,18121802,39194,3395,49529259,1
475561,5127849,2,38441,35247612,3192412,3296,70295978,18082947,2,18114302,593864,536545,2,597560,536503,18114304,50351,3313,49475321,1
478194,5020842,3,39435,35221616,3245463,3566,70319173,18102962,3,18090180,600611,525035,2,585773,524956,18090178,40837,3555,49649395,1
1001647,9216056,7,93542,16079215,2673011,17639,50754882,14576700,9,14919808,278769,1111753,10,518305,1111744,14919809,54899,17636,35851472,1
476841,4737228,0,37927,35172605,3228625,2397,70274238,18059121,0,18140001,597400,341461,0,526355,341468,18139997,39717,2388,49486982,1
11011,221120,22,2549,35093221,1376927,3744,7863785,2136308,21,1976363,89659,22673,35,15816,22624,1976360,852,3828,6335552,1
473961,4770810,1,37980,35184117,3194100,2725,70279673,18090122,1,18111425,592106,358049,1,533789,358065,18111423,38037,2717,49602588,1
480541,5122786,0,39827,35168203,3169184,3033,70221461,18103114,0,18113366,592239,532437,1,596742,532812,18111405,37759,3027,49775418,1
479413,5120573,0,39243,35148256,3210801,3586,70323782,18092122,0,18096714,596172,534220,1,598525,534250,18096714,39250,3585,49725111,1
479379,4768079,3,38978,35178450,3211638,3896,70388466,18127142,3,18081031,596848,364558,1,535091,364551,18081030,38906,3895,49664210,1
5836,1547350,3,1010,30088251,1181559,25,70179291,20262964,3,20279725,77619,7413,1,89952,7426,20279725,786,25,60908669,1
5024,3633245,0,759,35099426,3421301,1603,70172472,36757445,0,36763641,58727,7916,0,58618,7930,36763642,1923,1426,60694903,1
480811,5120483,6,39849,35210379,3167293,3229,70346521,18113938,6,18093047,589521,532928,3,594790,532755,18093047,48013,3225,49525972,1
4959,1547348,3,830,35093622,1377830,29,70171018,20263626,2,20284117,89841,7420,2,90283,7431,20284118,1248,31,60905222,1
5175,3632826,2,921,35108029,3423062,1620,70171150,36740699,2,36762958,58165,8206,1,58721,8228,36762958,911,1465,60667425,1
6301,3633017,2,932,35120085,3415698,409,70213717,35657153,2,36772051,188583,9135,3,58085,9074,36772053,82075,404,59202838,1
487096,4389609,3,48934,35201778,3199609,3536,70369531,18148073,3,17671257,594288,469199,2,510194,469219,17671255,39221,3542,49852539,1
473630,4992101,2,37999,35252864,3227985,3016,70344187,18064607,2,18131401,597643,518990,1,581283,518941,18131403,41733,3015,49497013,1
6198,1547484,3,1539,35093856,1376970,31,70172790,20280251,3,20277406,90017,7598,2,90016,7600,20277405,911,36,60967722,1
1329122,8332371,164,122952,35061030,5600239,13396,46183047,12603656,162,19010805,608607,1164837,83,471815,1164241,19009723,113647,13758,31479552,1
496559,4757692,1,50114,35192728,3217210,2354,70305389,18124765,1,17691866,596108,349956,1,532276,349961,17691864,39789,2353,49717188,1
415990,5122108,3,34782,35173783,3210024,3590,70355262,18136078,3,15538189,594388,533843,2,596806,533849,15538188,39588,3589,49700257,1
726291,10733282,3,64791,354421,39407,3111,37767332,10375606,3,10669505,6389,1441253,1,598160,1441235,10669506,1350,3127,25860214,1
476614,5102220,0,38819,35182307,3232215,3716,70315579,18088119,0,18100614,599478,530588,2,596116,530838,18100616,41023,3711,49686289,1
476892,4994028,5,38126,35145632,3264615,3784,70317654,18114623,5,18135648,594844,490894,1,576520,490899,18135644,40318,3806,49604247,1
488942,4302478,148,45234,35075129,3218954,23935,70151571,17792641,145,17832990,593143,528733,78,493481,528149,17829405,50629,24311,48596180,1
474963,4630125,5,37821,35182498,3209730,2980,70305715,18095768,5,18120128,596447,487661,2,539192,487672,18118153,39291,2975,49596966,1
478610,4933706,3,40249,35202814,3241405,2768,70327762,18119167,3,18077981,598922,446658,1,564345,446620,18077981,40565,2777,49646925,1
473536,5129461,11,38052,35176235,3236308,2869,70335714,18096793,11,18132187,596872,532919,4,600212,533465,18132186,41106,2856,49490978,1
478003,5118799,5,38375,35206063,3199317,3266,70342332,18099595,5,18093976,594828,528038,1,595727,528266,18095920,38555,3277,49562407,1
479998,4753356,7,38858,35191025,3173659,1868,70358488,18100530,7,18120181,589571,342403,2,528035,342338,18120182,48006,1910,49554321,1
483937,4847204,2,39863,35165882,3226736,2384,70261776,18044029,2,18127286,598010,393676,3,547276,393643,18127285,40400,2457,49335238,1
482963,4379958,2,40338,35173629,3240358,2811,70409432,18141269,2,18090495,600627,462602,0,510470,462597,18090493,41313,2812,49761532,1
1307806,10828551,151,128288,35029816,5706400,10267,50075897,13976276,149,19410676,594050,1307591,85,592810,1306963,19409556,129571,10637,34209641,1
475542,5122896,0,38189,35167630,3215371,3256,70345839,17659185,0,18109555,596303,533306,0,595667,533337,18109552,39930,3229,48298774,1
5072,3632728,15,813,35093582,3422545,16,70172006,36736046,15,36763142,57375,7080,11,57852,7089,36763142,736,19,60665529,1
483410,4401992,3,40151,35170227,3230986,3076,70289689,18073104,3,18105101,598335,469404,2,511300,469082,18107076,40553,3076,49462927,1
4990,1546311,2,942,30089741,1180576,66,70174784,20280177,2,20282061,84059,7466,1,98758,7488,20282061,927,56,60967485,1
474451,5114884,5,38173,35177677,3229010,2884,70338548,18077994,5,18094922,599070,528385,3,596845,528379,18094924,40418,2889,49536606,1
477403,5122176,2,39574,35174813,3210674,2916,70350414,18094137,2,18076103,595029,531931,0,595893,531567,18076105,40441,2907,49500495,1
1011232,9657282,0,97161,32768621,5512262,5535,52963927,15231821,0,15190114,558325,1157444,0,532464,1157451,15190113,114698,5531,37471033,1
474540,4422642,2,38662,35145729,3231522,3162,70395370,18131395,2,18112840,598128,475146,2,514488,475116,18112838,40792,3157,49595777,1
480378,4472790,0,40324,35188599,3203860,2708,70323872,18060104,0,18124254,596028,475299,0,521571,475286,18126311,39104,2694,49383834,1
477567,4683894,3,39576,35117311,3230405,2897,70311202,18105877,3,18058864,597708,481880,1,544372,481889,18058862,42671,2899,49672723,1
412282,4141375,0,34133,35184092,3236477,2083,70351835,18131907,0,15529703,599661,327447,0,464691,327437,15529704,41054,2065,49603440,1
416748,5106053,1,35489,35193278,3245767,3608,70287067,18086757,1,15493110,600873,531900,2,595488,531805,15493110,42481,3627,49521450,1
481183,4948471,1,39748,35184888,3213277,3008,70352682,18079582,1,18094424,595524,454362,2,569328,453904,18094422,39154,3087,49488348,1
488339,5076949,5,49073,35160284,3226844,2713,70388994,18128238,5,17684948,597601,519463,1,588018,519443,17687980,40565,2720,49603333,1
404542,3051700,6,38697,127267,8553,3456,355052,63603,6,6100109,2158,388335,5,171497,388346,6100109,681,3454,160438,1
7380,3657390,0,1615,35094525,3421644,13325,70172461,36759084,0,36705091,58016,60789,0,73535,60761,36705092,982,13492,60695988,1
472915,4501351,2,39257,35160210,3217118,2371,70275255,18063829,2,17749133,596771,421315,0,516155,421718,17749133,39339,2353,49331254,1
470710,5096440,1,37333,35167176,3198022,4118,70358140,18128719,1,18114282,587563,530188,2,592023,530167,18114285,36389,4118,49716519,1
476261,5099375,6,39063,35260120,3225822,3544,70374984,17727408,6,18101241,599175,528885,3,593799,528851,18101243,40856,3552,48497231,1
483753,4376002,2,40505,35162424,3208814,3313,70269220,18038600,2,18085101,596003,459522,1,507089,459148,18085101,39375,3325,49394419,1
1333120,1672751,2,117014,19167198,3200855,3431,35989294,9912951,2,19481563,321348,217286,0,99129,217286,19481561,57565,3472,24740108,1
477729,4649545,3,38850,35164075,3233861,2568,70365836,18117501,3,18104564,595174,346156,0,520924,346153,18102554,39920,2542,49578929,1
